Grid ID,X-Permutation,O-Permutation,Knot Type,tb,r,Legendrian Mirror,Orientation Reversal,Legendrian Mirror of Orientation Reversal
G1011,"(0, 9, 2, 1, 4, 3, 7, 8, 5, 6)","(8, 1, 0, 3, 2, 5, 4, 6, 7, 9)",8a1,-7,0,G1011,G1011,G1011
G1848,"(0, 8, 1, 9, 4, 2, 5, 3, 7, 6)","(5, 2, 7, 3, 0, 6, 1, 8, 9, 4)",m8a1,-3,0,G1848,G1848,G1848
G1849,"(0, 1, 8, 9, 6, 7, 5, 4, 2, 3)","(2, 9, 0, 7, 8, 4, 3, 6, 5, 1)",m8a1,-3,0,G1849,G1849,G1849
G1850,"(0, 6, 4, 8, 7, 2, 1, 3, 5, 9)","(8, 9, 7, 6, 3, 5, 4, 0, 1, 2)",m8a1,-3,0,G1850,G1850,G1850
G1014,"(0, 2, 3, 9, 8, 7, 6, 5, 4, 1)","(3, 4, 1, 2, 0, 9, 8, 7, 6, 5)",8a2,-11,-4,--,--,G1014
G1015,"(0, 9, 8, 7, 4, 5, 3, 2, 6, 1)","(2, 1, 0, 9, 6, 8, 7, 4, 3, 5)",8a2,-11,-4,--,--,G1015
G1012,"(0, 9, 7, 8, 6, 5, 3, 2, 4, 1)","(2, 1, 0, 5, 4, 9, 7, 6, 8, 3)",8a2,-11,-2,--,--,G1013
G1013,"(0, 7, 6, 4, 5, 3, 2, 1, 9, 8)","(6, 5, 9, 8, 0, 7, 4, 3, 2, 1)",8a2,-11,-2,--,--,G1012
G1016,"(0, 2, 9, 1, 8, 7, 5, 4, 6, 3)","(5, 4, 3, 7, 6, 0, 2, 9, 1, 8)",8a2,-11,0,G1016,G1016,G1016
G1017,"(0, 9, 1, 8, 6, 5, 7, 3, 2, 4)","(5, 4, 7, 3, 0, 9, 2, 1, 6, 8)",8a2,-11,0,G1018,G1017,G1018
G1018,"(0, 9, 1, 8, 6, 5, 7, 3, 2, 4)","(5, 3, 7, 4, 0, 9, 2, 1, 8, 6)",8a2,-11,0,G1017,G1018,G1017
G1019,"(0, 9, 7, 6, 5, 3, 4, 2, 1, 8)","(7, 6, 5, 4, 1, 8, 0, 9, 3, 2)",8a2,-11,2,--,--,G1020
G1020,"(0, 7, 9, 8, 6, 5, 3, 4, 2, 1)","(8, 3, 5, 4, 2, 7, 6, 1, 0, 9)",8a2,-11,2,--,--,G1019
G1021,"(0, 7, 6, 5, 4, 3, 2, 8, 9, 1)","(6, 5, 4, 3, 2, 1, 9, 0, 7, 8)",8a2,-11,4,--,--,G1021
G1022,"(0, 5, 9, 8, 6, 7, 4, 3, 2, 1)","(6, 8, 7, 4, 3, 5, 2, 1, 0, 9)",8a2,-11,4,--,--,G1022
G1851,"(0, 1, 2, 3, 5, 4, 7, 6, 8, 9)","(8, 9, 0, 1, 2, 6, 5, 3, 4, 7)",m8a2,1,0,?,G1851,?
G1023,"(0, 5, 4, 6, 7, 2, 3, 9, 8, 1)","(2, 1, 7, 3, 5, 4, 8, 6, 0, 9)",8a3,-5,0,G1023,G1023,G1023
G1024,"(0, 9, 2, 1, 4, 3, 7, 8, 5, 6)","(5, 1, 0, 3, 2, 8, 9, 6, 7, 4)",8a3,-5,0,G1024,G1024,G1024
G1025,"(0, 1, 7, 8, 2, 9, 5, 3, 6, 4)","(2, 5, 3, 6, 7, 4, 0, 9, 1, 8)",8a4,-3,0,?,?,G1026
G1026,"(0, 7, 9, 8, 4, 1, 2, 5, 3, 6)","(4, 2, 5, 3, 9, 6, 0, 1, 7, 8)",8a4,-3,0,?,?,G1026
G1852,"(0, 7, 4, 8, 9, 5, 3, 2, 6, 1)","(2, 1, 9, 0, 6, 8, 7, 4, 3, 5)",m8a4,-7,-2,--,--,G1852
G1853,"(0, 7, 8, 6, 3, 9, 4, 2, 1, 5)","(4, 9, 1, 0, 7, 5, 8, 6, 3, 2)",m8a4,-7,-2,--,--,G1853
G1854,"(0, 9, 8, 7, 4, 3, 5, 6, 1, 2)","(5, 1, 0, 9, 8, 6, 2, 4, 3, 7)",m8a4,-7,-2,--,--,G1854
G1855,"(0, 7, 8, 6, 5, 4, 3, 1, 2, 9)","(8, 9, 3, 2, 7, 6, 5, 4, 0, 1)",m8a4,-7,-2,--,--,G1855
G1856,"(0, 9, 6, 7, 4, 5, 3, 2, 8, 1)","(2, 1, 8, 5, 6, 0, 9, 4, 3, 7)",m8a4,-7,-2,--,--,G1856
G1857,"(0, 9, 3, 2, 7, 6, 1, 8, 4, 5)","(4, 2, 1, 8, 0, 9, 7, 5, 6, 3)",m8a4,-7,0,G1859,G1857,G1859
G1858,"(0, 7, 5, 3, 1, 2, 4, 9, 8, 6)","(4, 2, 9, 6, 5, 0, 8, 7, 3, 1)",m8a4,-7,0,G1860,G1858,G1860
G1859,"(0, 6, 7, 3, 2, 5, 9, 8, 4, 1)","(7, 8, 5, 6, 4, 1, 3, 2, 0, 9)",m8a4,-7,0,G1857,G1859,G1857
G1860,"(0, 2, 6, 5, 9, 8, 4, 7, 1, 3)","(5, 8, 4, 1, 3, 0, 9, 2, 6, 7)",m8a4,-7,0,G1858,G1860,G1858
G1861,"(0, 7, 8, 6, 5, 4, 3, 1, 2, 9)","(8, 9, 5, 4, 3, 2, 7, 6, 0, 1)",m8a4,-7,2,--,--,G1861
G1862,"(0, 3, 9, 8, 6, 7, 4, 5, 2, 1)","(4, 8, 7, 2, 1, 5, 6, 3, 0, 9)",m8a4,-7,2,--,--,G1862
G1863,"(0, 5, 9, 8, 6, 2, 3, 7, 4, 1)","(6, 8, 7, 4, 3, 5, 1, 2, 0, 9)",m8a4,-7,2,--,--,G1863
G1864,"(0, 4, 3, 1, 6, 2, 9, 7, 8, 5)","(3, 2, 9, 7, 0, 8, 5, 4, 6, 1)",m8a4,-7,2,--,--,G1864
G1865,"(0, 1, 6, 7, 9, 8, 5, 4, 3, 2)","(5, 9, 8, 0, 6, 4, 3, 2, 1, 7)",m8a4,-7,2,--,--,G1865
G1030,"(0, 9, 8, 6, 5, 3, 2, 4, 7, 1)","(2, 1, 0, 9, 7, 6, 5, 8, 3, 4)",8a5,-11,-4,--,--,G1030
G1027,"(0, 9, 8, 5, 3, 6, 4, 7, 2, 1)","(2, 4, 1, 0, 7, 9, 8, 5, 6, 3)",8a5,-11,-2,--,--,G1027
G1028,"(0, 9, 5, 4, 6, 3, 8, 7, 2, 1)","(2, 1, 0, 8, 9, 7, 5, 4, 6, 3)",8a5,-11,-2,--,--,G1029
G1029,"(0, 9, 8, 5, 3, 2, 4, 7, 6, 1)","(2, 1, 0, 9, 7, 6, 8, 5, 3, 4)",8a5,-11,-2,--,--,G1028
G1031,"(0, 9, 1, 4, 8, 6, 3, 7, 5, 2)","(6, 4, 5, 0, 3, 2, 9, 1, 8, 7)",8a5,-11,0,G1031,G1031,G1031
G1032,"(0, 8, 7, 6, 5, 4, 3, 1, 2, 9)","(7, 6, 3, 2, 9, 8, 5, 4, 0, 1)",8a5,-11,0,G1032,G1032,G1032
G1033,"(0, 1, 9, 8, 6, 3, 7, 5, 4, 2)","(3, 7, 5, 4, 0, 9, 2, 1, 6, 8)",8a5,-11,0,G1034,G1033,G1034
G1034,"(0, 8, 4, 7, 6, 3, 5, 2, 1, 9)","(6, 5, 9, 2, 1, 7, 0, 8, 4, 3)",8a5,-11,0,G1033,G1034,G1033
G1035,"(0, 9, 4, 7, 5, 8, 6, 3, 2, 1)","(8, 5, 6, 3, 2, 4, 1, 0, 7, 9)",8a5,-11,2,--,--,G1035
G1036,"(0, 5, 4, 7, 9, 8, 6, 3, 2, 1)","(7, 8, 6, 3, 5, 4, 2, 1, 0, 9)",8a5,-11,2,--,--,G1037
G1037,"(0, 9, 4, 3, 8, 5, 7, 6, 2, 1)","(8, 5, 7, 6, 4, 2, 3, 1, 0, 9)",8a5,-11,2,--,--,G1036
G1038,"(0, 4, 7, 9, 8, 6, 5, 3, 2, 1)","(7, 8, 3, 6, 5, 4, 2, 1, 0, 9)",8a5,-11,4,--,--,G1038
G1866,"(0, 2, 3, 4, 5, 1, 8, 6, 7, 9)","(3, 4, 5, 6, 8, 7, 2, 9, 0, 1)",m8a5,1,0,?,G1866,?
G1039,"(0, 4, 3, 8, 7, 6, 5, 1, 2, 9)","(3, 2, 5, 4, 9, 8, 7, 6, 0, 1)",8a6,-9,-2,--,--,G1039
G1040,"(0, 1, 7, 6, 5, 4, 9, 8, 2, 3)","(2, 4, 3, 8, 7, 6, 5, 0, 9, 1)",8a6,-9,-2,--,--,G1040
G1041,"(0, 9, 8, 1, 3, 5, 4, 7, 6, 2)","(3, 2, 0, 4, 9, 1, 6, 5, 8, 7)",8a6,-9,-2,--,--,G1041
G1042,"(0, 9, 4, 1, 3, 2, 6, 5, 8, 7)","(3, 2, 0, 8, 9, 5, 4, 7, 6, 1)",8a6,-9,0,G1043,G1042,G1043
G1043,"(0, 9, 7, 2, 1, 4, 3, 6, 5, 8)","(6, 5, 1, 0, 3, 2, 8, 9, 7, 4)",8a6,-9,0,G1042,G1043,G1042
G1044,"(0, 7, 8, 4, 3, 2, 1, 6, 5, 9)","(8, 9, 3, 2, 1, 0, 5, 4, 7, 6)",8a6,-9,2,--,--,G1044
G1045,"(0, 1, 5, 4, 9, 8, 7, 6, 2, 3)","(2, 4, 3, 8, 7, 6, 5, 0, 9, 1)",8a6,-9,2,--,--,G1045
G1046,"(0, 6, 5, 8, 7, 9, 1, 4, 3, 2)","(5, 4, 7, 6, 1, 3, 8, 2, 0, 9)",8a6,-9,2,--,--,G1046
G1867,"(0, 5, 6, 7, 8, 3, 4, 2, 1, 9)","(8, 9, 4, 5, 6, 7, 1, 0, 3, 2)",m8a6,-1,0,?,G1867,?
G1868,"(0, 4, 2, 6, 7, 8, 5, 9, 3, 1)","(2, 1, 7, 8, 9, 0, 3, 4, 6, 5)",m8a6,-1,0,?,G1868,?
G1047,"(0, 1, 5, 6, 7, 8, 9, 4, 3, 2)","(3, 6, 7, 8, 9, 0, 2, 1, 5, 4)",8a7,-2,-1,--,--,?
G1048,"(0, 9, 1, 8, 2, 3, 4, 5, 7, 6)","(7, 5, 6, 0, 9, 1, 2, 3, 4, 8)",8a7,-2,-1,--,--,?
G1049,"(0, 9, 8, 3, 4, 5, 6, 7, 1, 2)","(8, 7, 1, 0, 2, 3, 4, 5, 6, 9)",8a7,-2,1,--,--,?
G1050,"(0, 9, 1, 2, 3, 4, 8, 5, 7, 6)","(8, 2, 3, 4, 5, 7, 6, 0, 1, 9)",8a7,-2,1,--,--,?
G1872,"(0, 5, 4, 3, 2, 1, 7, 6, 8, 9)","(8, 9, 6, 5, 4, 3, 2, 0, 1, 7)",m8a7,-8,-3,--,--,?
G1873,"(0, 9, 5, 4, 6, 3, 2, 1, 7, 8)","(7, 1, 0, 8, 9, 5, 4, 3, 2, 6)",m8a7,-8,-3,--,--,?
G1869,"(0, 4, 9, 5, 3, 6, 7, 8, 2, 1)","(3, 2, 1, 0, 8, 9, 5, 6, 7, 4)",m8a7,-8,-1,--,--,?
G1870,"(0, 8, 7, 9, 2, 3, 6, 5, 1, 4)","(5, 2, 1, 3, 4, 0, 8, 7, 6, 9)",m8a7,-8,-1,--,--,?
G1871,"(0, 3, 5, 4, 2, 1, 7, 9, 8, 6)","(7, 8, 1, 0, 6, 3, 2, 5, 4, 9)",m8a7,-8,-1,--,--,?
G1874,"(0, 3, 9, 8, 1, 2, 5, 7, 6, 4)","(5, 8, 7, 6, 4, 0, 1, 3, 2, 9)",m8a7,-8,1,--,--,?
G1875,"(0, 8, 7, 9, 5, 4, 2, 1, 3, 6)","(7, 2, 1, 4, 3, 0, 6, 5, 8, 9)",m8a7,-8,1,--,--,?
G1876,"(0, 9, 3, 4, 5, 8, 6, 2, 7, 1)","(7, 4, 5, 6, 2, 3, 1, 0, 9, 8)",m8a7,-8,1,--,--,?
G1877,"(0, 1, 7, 6, 5, 2, 4, 3, 9, 8)","(2, 6, 5, 4, 3, 9, 0, 8, 7, 1)",m8a7,-8,3,--,--,?
G1878,"(0, 1, 3, 2, 8, 7, 6, 5, 4, 9)","(2, 8, 9, 7, 6, 5, 4, 3, 0, 1)",m8a7,-8,3,--,--,?
G1051,"(0, 9, 8, 6, 7, 3, 4, 5, 1, 2)","(7, 1, 0, 9, 4, 5, 6, 2, 3, 8)",8a8,-4,-1,--,--,?
G1052,"(0, 7, 6, 2, 5, 8, 1, 3, 4, 9)","(3, 1, 8, 7, 9, 4, 6, 5, 0, 2)",8a8,-4,-1,--,--,?
G1053,"(0, 1, 7, 8, 6, 5, 2, 4, 3, 9)","(2, 8, 9, 4, 3, 7, 6, 0, 5, 1)",8a8,-4,-1,--,--,?
G1054,"(0, 9, 6, 8, 1, 5, 2, 3, 4, 7)","(5, 1, 0, 4, 7, 9, 6, 8, 2, 3)",8a8,-4,-1,--,--,?
G1055,"(0, 8, 7, 6, 1, 9, 3, 4, 2, 5)","(3, 2, 9, 8, 7, 4, 5, 6, 0, 1)",8a8,-4,-1,--,--,?
G1056,"(0, 3, 1, 2, 6, 4, 9, 8, 7, 5)","(4, 5, 9, 0, 1, 8, 7, 6, 3, 2)",8a8,-4,1,--,--,?
G1057,"(0, 6, 5, 7, 4, 3, 1, 2, 8, 9)","(8, 4, 9, 3, 2, 6, 5, 0, 1, 7)",8a8,-4,1,--,--,?
G1058,"(0, 3, 4, 5, 2, 6, 9, 1, 8, 7)","(4, 5, 9, 1, 8, 0, 3, 7, 6, 2)",8a8,-4,1,--,--,?
G1059,"(0, 1, 7, 8, 9, 5, 6, 4, 3, 2)","(4, 9, 0, 6, 7, 8, 3, 2, 1, 5)",8a8,-4,1,--,--,?
G1060,"(0, 5, 6, 8, 1, 4, 7, 3, 2, 9)","(7, 9, 4, 3, 5, 0, 2, 1, 8, 6)",8a8,-4,1,--,--,?
G1879,"(0, 4, 5, 2, 1, 8, 6, 9, 7, 3)","(5, 6, 9, 7, 3, 4, 0, 2, 1, 8)",m8a8,-6,-1,--,--,?
G1880,"(0, 2, 9, 1, 4, 5, 8, 7, 3, 6)","(4, 7, 3, 5, 6, 2, 0, 9, 8, 1)",m8a8,-6,-1,--,--,?
G1881,"(0, 3, 2, 9, 1, 5, 6, 8, 4, 7)","(5, 8, 4, 3, 6, 7, 2, 0, 9, 1)",m8a8,-6,-1,--,--,?
G1882,"(0, 3, 9, 1, 2, 6, 8, 5, 4, 7)","(6, 8, 7, 5, 0, 1, 4, 3, 9, 2)",m8a8,-6,1,--,--,?
G1883,"(0, 3, 9, 8, 1, 2, 5, 7, 4, 6)","(5, 8, 7, 6, 4, 0, 1, 3, 9, 2)",m8a8,-6,1,--,--,?
G1884,"(0, 6, 4, 7, 5, 2, 1, 8, 9, 3)","(5, 2, 1, 3, 9, 0, 6, 4, 7, 8)",m8a8,-6,1,--,--,?
G1061,"(0, 9, 4, 3, 5, 6, 7, 8, 2, 1)","(2, 1, 0, 8, 9, 4, 5, 6, 7, 3)",8a9,-5,-2,--,--,?
G1062,"(0, 6, 7, 8, 9, 2, 5, 4, 3, 1)","(2, 1, 3, 6, 7, 8, 0, 9, 5, 4)",8a9,-5,-2,--,--,?
G1063,"(0, 9, 1, 7, 5, 6, 4, 2, 3, 8)","(5, 4, 6, 3, 8, 0, 7, 9, 1, 2)",8a9,-5,0,?,?,G1064
G1064,"(0, 8, 6, 7, 5, 1, 3, 2, 4, 9)","(5, 3, 2, 4, 8, 6, 9, 7, 0, 1)",8a9,-5,0,?,?,G1063
G1065,"(0, 8, 7, 6, 9, 2, 3, 4, 5, 1)","(7, 6, 2, 1, 3, 4, 5, 8, 0, 9)",8a9,-5,2,--,--,?
G1066,"(0, 9, 3, 4, 5, 6, 8, 7, 2, 1)","(8, 4, 5, 6, 7, 2, 3, 1, 0, 9)",8a9,-5,2,--,--,?
G891,"(0, 3, 4, 5, 6, 9, 8, 7, 1, 2)","(4, 5, 6, 7, 1, 2, 0, 9, 3, 8)",8a10,-2,-1,--,--,G892
G892,"(0, 6, 5, 3, 1, 2, 4, 7, 8, 9)","(3, 2, 7, 6, 4, 5, 8, 9, 0, 1)",8a10,-2,-1,--,--,G891
G893,"(0, 3, 5, 7, 9, 8, 4, 6, 1, 2)","(4, 7, 8, 1, 2, 0, 9, 3, 5, 6)",8a10,-2,-1,--,--,?
G894,"(0, 9, 5, 2, 3, 1, 4, 6, 7, 8)","(3, 1, 0, 4, 6, 5, 7, 8, 9, 2)",8a10,-2,-1,--,--,?
G895,"(0, 1, 2, 5, 7, 8, 6, 4, 3, 9)","(8, 9, 0, 1, 4, 5, 3, 2, 7, 6)",8a10,-2,1,--,--,G896
G896,"(0, 1, 5, 4, 3, 6, 7, 8, 9, 2)","(4, 9, 3, 2, 0, 1, 5, 6, 7, 8)",8a10,-2,1,--,--,G895
G897,"(0, 1, 6, 8, 4, 3, 5, 7, 9, 2)","(6, 7, 9, 3, 2, 0, 1, 4, 5, 8)",8a10,-2,1,--,--,?
G898,"(0, 1, 2, 4, 7, 5, 6, 3, 9, 8)","(6, 9, 0, 1, 3, 2, 4, 8, 7, 5)",8a10,-2,1,--,--,?
G1785,"(0, 9, 8, 4, 5, 6, 3, 2, 1, 7)","(5, 1, 0, 6, 7, 9, 8, 4, 3, 2)",m8a10,-8,-3,--,--,?
G1786,"(0, 9, 8, 7, 3, 2, 4, 5, 1, 6)","(4, 1, 0, 9, 8, 5, 6, 7, 3, 2)",m8a10,-8,-3,--,--,?
G1780,"(0, 9, 7, 3, 6, 2, 1, 4, 5, 8)","(5, 2, 1, 8, 0, 7, 6, 9, 3, 4)",m8a10,-8,-1,--,--,?
G1781,"(0, 1, 5, 3, 4, 2, 8, 7, 9, 6)","(8, 9, 0, 7, 6, 5, 3, 1, 4, 2)",m8a10,-8,-1,--,--,?
G1782,"(0, 9, 4, 8, 3, 2, 5, 6, 7, 1)","(3, 1, 2, 0, 9, 7, 8, 4, 5, 6)",m8a10,-8,-1,--,--,?
G1783,"(0, 2, 1, 9, 4, 8, 3, 7, 5, 6)","(5, 7, 6, 3, 0, 2, 1, 9, 8, 4)",m8a10,-8,-1,--,--,G1784
G1784,"(0, 2, 1, 6, 4, 8, 9, 7, 5, 3)","(4, 6, 5, 3, 9, 0, 2, 1, 8, 7)",m8a10,-8,-1,--,--,G1783
G1787,"(0, 3, 4, 7, 6, 2, 5, 1, 9, 8)","(4, 5, 9, 2, 1, 8, 0, 7, 6, 3)",m8a10,-8,1,--,--,?
G1788,"(0, 7, 9, 8, 4, 2, 3, 1, 5, 6)","(4, 2, 5, 3, 1, 0, 9, 6, 7, 8)",m8a10,-8,1,--,--,?
G1789,"(0, 4, 5, 6, 9, 8, 3, 7, 2, 1)","(5, 6, 7, 3, 4, 2, 1, 9, 0, 8)",m8a10,-8,1,--,--,?
G1790,"(0, 1, 9, 3, 8, 2, 7, 5, 4, 6)","(2, 8, 7, 5, 4, 6, 3, 0, 9, 1)",m8a10,-8,1,--,--,G1791
G1791,"(0, 8, 6, 4, 5, 9, 7, 2, 1, 3)","(6, 5, 2, 1, 3, 4, 0, 8, 7, 9)",m8a10,-8,1,--,--,G1790
G1792,"(0, 5, 1, 2, 4, 3, 9, 8, 7, 6)","(4, 3, 9, 0, 1, 8, 7, 6, 5, 2)",m8a10,-8,3,--,--,?
G1793,"(0, 6, 5, 4, 1, 2, 3, 9, 8, 7)","(5, 4, 3, 9, 8, 0, 1, 7, 6, 2)",m8a10,-8,3,--,--,?
G899,"(0, 9, 6, 5, 8, 7, 2, 1, 3, 4)","(3, 1, 0, 7, 6, 9, 8, 4, 5, 2)",8a11,-9,-2,--,--,?
G900,"(0, 7, 4, 8, 3, 6, 5, 2, 9, 1)","(2, 1, 9, 0, 5, 4, 7, 6, 3, 8)",8a11,-9,-2,--,--,G900
G901,"(0, 8, 2, 1, 5, 7, 6, 4, 3, 9)","(7, 1, 0, 6, 9, 3, 2, 8, 5, 4)",8a11,-9,0,?,?,G902
G902,"(0, 2, 1, 7, 5, 6, 9, 8, 4, 3)","(4, 9, 6, 3, 0, 8, 7, 2, 1, 5)",8a11,-9,0,?,?,G901
G903,"(0, 2, 9, 6, 5, 8, 3, 7, 4, 1)","(3, 8, 5, 4, 7, 6, 1, 2, 0, 9)",8a11,-9,2,--,--,G903
G904,"(0, 1, 3, 2, 7, 6, 9, 8, 5, 4)","(2, 9, 0, 6, 5, 8, 7, 4, 3, 1)",8a11,-9,2,--,--,?
G1794,"(0, 6, 5, 1, 2, 7, 8, 9, 3, 4)","(3, 2, 7, 6, 8, 9, 0, 4, 5, 1)",m8a11,-1,0,?,?,G1798
G1795,"(0, 3, 5, 1, 9, 4, 6, 7, 8, 2)","(4, 9, 0, 8, 2, 1, 3, 5, 6, 7)",m8a11,-1,0,?,G1799,G1801
G1796,"(0, 1, 4, 8, 7, 5, 6, 9, 2, 3)","(2, 5, 7, 6, 9, 8, 0, 3, 4, 1)",m8a11,-1,0,?,G1796,?
G1797,"(0, 5, 6, 3, 4, 7, 8, 2, 1, 9)","(6, 7, 4, 5, 8, 9, 1, 0, 3, 2)",m8a11,-1,0,?,?,G1800
G1798,"(0, 1, 4, 3, 7, 8, 9, 2, 5, 6)","(2, 9, 0, 5, 4, 6, 7, 8, 1, 3)",m8a11,-1,0,?,?,G1794
G1799,"(0, 9, 1, 3, 2, 4, 6, 8, 7, 5)","(8, 2, 4, 6, 5, 7, 0, 1, 9, 3)",m8a11,-1,0,G1801,G1795,?
G1800,"(0, 6, 7, 4, 5, 8, 9, 2, 3, 1)","(2, 1, 5, 6, 3, 4, 7, 8, 0, 9)",m8a11,-1,0,?,?,G1797
G1801,"(0, 7, 8, 2, 9, 3, 5, 4, 6, 1)","(2, 1, 3, 5, 4, 6, 9, 7, 0, 8)",m8a11,-1,0,G1799,?,G1795
G905,"(0, 9, 2, 1, 4, 3, 7, 8, 5, 6)","(3, 1, 0, 8, 9, 5, 4, 6, 7, 2)",8a12,-5,0,G907,G907,G905
G906,"(0, 5, 4, 1, 7, 6, 2, 3, 9, 8)","(4, 3, 9, 6, 5, 8, 7, 0, 1, 2)",8a12,-5,0,?,G909,?
G907,"(0, 8, 9, 5, 4, 6, 7, 2, 3, 1)","(2, 1, 4, 3, 7, 8, 5, 6, 0, 9)",8a12,-5,0,G905,G905,G907
G908,"(0, 3, 2, 4, 8, 6, 5, 9, 7, 1)","(2, 1, 8, 9, 3, 0, 7, 6, 4, 5)",8a12,-5,0,G910,G910,G908
G909,"(0, 2, 1, 6, 5, 9, 8, 3, 4, 7)","(3, 8, 5, 4, 7, 6, 0, 9, 1, 2)",8a12,-5,0,?,G906,?
G910,"(0, 3, 2, 5, 8, 4, 7, 6, 9, 1)","(2, 1, 7, 9, 0, 6, 5, 3, 4, 8)",8a12,-5,0,G908,G908,G910
G911,"(0, 9, 2, 1, 4, 3, 5, 6, 8, 7)","(3, 1, 0, 8, 9, 6, 7, 4, 5, 2)",8a12,-5,0,G911,G911,G911
G912,"(0, 8, 7, 2, 1, 4, 6, 3, 5, 9)","(6, 3, 9, 8, 5, 0, 1, 7, 2, 4)",8a13,-4,-1,--,--,G919
G913,"(0, 8, 5, 4, 6, 3, 1, 2, 7, 9)","(6, 3, 9, 7, 2, 5, 4, 8, 0, 1)",8a13,-4,-1,--,--,G916
G914,"(0, 4, 3, 7, 6, 8, 5, 1, 2, 9)","(8, 9, 5, 4, 2, 3, 7, 6, 0, 1)",8a13,-4,-1,--,--,G917
G915,"(0, 9, 3, 4, 1, 2, 5, 8, 7, 6)","(7, 5, 6, 2, 3, 0, 1, 4, 9, 8)",8a13,-4,-1,--,--,G920
G916,"(0, 1, 7, 8, 6, 4, 3, 5, 9, 2)","(3, 9, 0, 5, 2, 7, 6, 1, 4, 8)",8a13,-4,-1,--,--,G913
G917,"(0, 4, 5, 2, 3, 7, 6, 1, 9, 8)","(5, 6, 3, 4, 9, 0, 8, 7, 2, 1)",8a13,-4,-1,--,--,G914
G918,"(0, 4, 5, 8, 9, 3, 2, 1, 6, 7)","(6, 9, 1, 0, 7, 8, 4, 3, 2, 5)",8a13,-4,-1,--,--,G923
G919,"(0, 6, 5, 3, 4, 8, 7, 1, 9, 2)","(4, 1, 7, 6, 9, 0, 2, 5, 3, 8)",8a13,-4,-1,--,--,G912
G920,"(0, 9, 3, 4, 1, 2, 5, 8, 7, 6)","(7, 4, 5, 2, 3, 6, 0, 1, 9, 8)",8a13,-4,-1,--,--,G915
G921,"(0, 2, 5, 3, 4, 9, 8, 6, 7, 1)","(4, 6, 1, 7, 2, 3, 0, 9, 5, 8)",8a13,-4,-1,--,--,G922
G922,"(0, 2, 3, 1, 6, 7, 5, 4, 9, 8)","(3, 4, 9, 7, 0, 2, 8, 6, 5, 1)",8a13,-4,-1,--,--,G921
G923,"(0, 4, 5, 1, 8, 7, 6, 2, 3, 9)","(5, 6, 2, 4, 3, 9, 8, 7, 0, 1)",8a13,-4,-1,--,--,G918
G924,"(0, 7, 8, 4, 1, 3, 2, 6, 5, 9)","(8, 9, 3, 2, 6, 7, 5, 4, 0, 1)",8a13,-4,1,--,--,G928
G925,"(0, 6, 7, 3, 2, 1, 8, 4, 5, 9)","(8, 9, 2, 1, 0, 6, 5, 7, 3, 4)",8a13,-4,1,--,--,G929
G926,"(0, 3, 1, 5, 4, 8, 9, 7, 6, 2)","(4, 9, 7, 0, 2, 3, 6, 5, 1, 8)",8a13,-4,1,--,--,G933
G927,"(0, 2, 7, 8, 6, 3, 5, 4, 1, 9)","(8, 9, 1, 5, 4, 7, 2, 0, 6, 3)",8a13,-4,1,--,--,G932
G928,"(0, 9, 7, 2, 1, 5, 6, 3, 4, 8)","(7, 6, 1, 0, 8, 9, 4, 5, 2, 3)",8a13,-4,1,--,--,G924
G929,"(0, 1, 6, 5, 4, 8, 9, 2, 3, 7)","(2, 5, 4, 3, 9, 0, 7, 6, 8, 1)",8a13,-4,1,--,--,G925
G930,"(0, 9, 8, 1, 4, 5, 2, 3, 7, 6)","(8, 7, 2, 5, 6, 3, 4, 0, 1, 9)",8a13,-4,1,--,--,G934
G931,"(0, 9, 4, 3, 1, 2, 7, 5, 6, 8)","(7, 3, 2, 0, 6, 8, 1, 9, 4, 5)",8a13,-4,1,--,--,G935
G932,"(0, 3, 7, 9, 8, 6, 4, 5, 1, 2)","(4, 8, 1, 6, 5, 0, 7, 2, 3, 9)",8a13,-4,1,--,--,G927
G933,"(0, 4, 6, 3, 5, 8, 7, 2, 1, 9)","(5, 7, 2, 8, 9, 4, 1, 0, 6, 3)",8a13,-4,1,--,--,G926
G934,"(0, 9, 8, 1, 4, 5, 2, 3, 7, 6)","(8, 7, 5, 6, 0, 3, 4, 1, 2, 9)",8a13,-4,1,--,--,G930
G935,"(0, 4, 5, 3, 2, 7, 8, 6, 9, 1)","(3, 6, 2, 1, 8, 9, 4, 0, 5, 7)",8a13,-4,1,--,--,G931
G1802,"(0, 9, 2, 1, 8, 6, 7, 3, 4, 5)","(7, 1, 0, 3, 2, 9, 4, 5, 6, 8)",m8a13,-6,-1,--,--,?
G1803,"(0, 4, 1, 7, 8, 9, 3, 2, 6, 5)","(6, 8, 5, 9, 0, 2, 1, 4, 3, 7)",m8a13,-6,-1,--,--,?
G1804,"(0, 9, 3, 2, 6, 7, 8, 4, 1, 5)","(8, 2, 1, 4, 3, 5, 6, 0, 7, 9)",m8a13,-6,1,--,--,?
G1805,"(0, 1, 2, 8, 9, 7, 4, 3, 6, 5)","(7, 9, 0, 1, 6, 3, 2, 5, 4, 8)",m8a13,-6,1,--,--,?
G936,"(0, 4, 3, 2, 9, 6, 5, 7, 8, 1)","(2, 1, 5, 4, 3, 0, 8, 9, 6, 7)",8a14,-9,-2,--,--,G937
