Knot Type,Grid ID,X-Permutation,O-Permutation,tb,r,Legendrian Mirror,Orientation Reversal,Legendrian Mirror of Orientation Reversal
11n138,G387,"(0, 8, 1, 9, 3, 7, 6, 5, 2, 4)","(3, 2, 5, 4, 8, 0, 9, 7, 6, 1)",-5,-2,--,--,G387
11n138,G388,"(0, 2, 9, 5, 4, 3, 7, 6, 8, 1)","(3, 6, 4, 1, 0, 8, 2, 9, 5, 7)",-5,0,G389,G388,G389
11n138,G389,"(0, 9, 8, 2, 1, 3, 7, 5, 4, 6)","(5, 7, 3, 6, 4, 0, 2, 9, 8, 1)",-5,0,G388,G389,G388
11n138,G390,"(0, 2, 9, 8, 7, 1, 5, 3, 6, 4)","(3, 8, 7, 5, 4, 6, 0, 9, 2, 1)",-5,2,--,--,G390
m11n138,G1377,"(0, 5, 7, 8, 9, 3, 1, 4, 2, 6)","(4, 1, 2, 6, 7, 0, 8, 9, 5, 3)",-5,0,?,G1377,?
11n139,G391,"(0, 8, 2, 5, 3, 1, 7, 4, 9, 6)","(4, 1, 9, 0, 7, 6, 2, 8, 5, 3)",-9,0,G391,G392,G392
11n139,G392,"(0, 7, 2, 9, 1, 6, 3, 5, 8, 4)","(6, 5, 8, 3, 4, 2, 7, 0, 1, 9)",-9,0,G392,G391,G391
m11n139,G1378,"(0, 9, 1, 6, 3, 2, 4, 7, 8, 5)","(4, 2, 7, 0, 8, 5, 9, 3, 6, 1)",-1,0,G1378,G1379,G1379
m11n139,G1379,"(0, 2, 5, 9, 3, 4, 7, 6, 8, 1)","(3, 6, 1, 4, 8, 0, 2, 9, 5, 7)",-1,0,G1379,G1378,G1378
11n141,G393,"(0, 9, 1, 3, 2, 5, 4, 6, 8, 7)","(8, 2, 4, 0, 6, 1, 7, 3, 5, 9)",-3,0,G393,G393,G393
m11n141,G1380,"(0, 7, 6, 8, 9, 5, 3, 4, 1, 2)","(3, 1, 9, 4, 7, 2, 6, 0, 5, 8)",-7,0,G1380,G1380,G1380
m11n141,G1381,"(0, 7, 8, 6, 4, 5, 2, 3, 1, 9)","(6, 1, 5, 9, 7, 3, 4, 0, 8, 2)",-7,0,G1381,G1381,G1381
11n142,G394,"(0, 9, 1, 3, 2, 5, 4, 7, 6, 8)","(7, 2, 6, 0, 4, 3, 8, 1, 9, 5)",-3,0,G395,G395,G394
11n142,G395,"(0, 6, 8, 3, 7, 1, 5, 4, 9, 2)","(7, 9, 1, 0, 2, 4, 3, 6, 5, 8)",-3,0,G394,G394,G395
m11n142,G1382,"(0, 1, 8, 9, 6, 7, 5, 3, 4, 2)","(3, 5, 2, 7, 8, 4, 0, 6, 1, 9)",-7,0,G1384,G1382,G1384
m11n142,G1383,"(0, 3, 1, 8, 9, 5, 7, 4, 6, 2)","(5, 6, 4, 2, 7, 8, 3, 0, 1, 9)",-7,0,G1385,G1388,G1387
m11n142,G1384,"(0, 1, 8, 9, 6, 7, 5, 3, 4, 2)","(3, 9, 0, 5, 2, 4, 8, 6, 1, 7)",-7,0,G1382,G1384,G1382
m11n142,G1385,"(0, 3, 9, 7, 8, 1, 2, 6, 4, 5)","(6, 8, 4, 2, 5, 3, 0, 1, 7, 9)",-7,0,G1383,G1387,G1388
m11n142,G1386,"(0, 2, 9, 4, 7, 3, 6, 1, 5, 8)","(5, 6, 3, 1, 2, 8, 0, 7, 9, 4)",-7,0,G1391,G1390,G1389
m11n142,G1387,"(0, 6, 8, 5, 7, 3, 1, 2, 9, 4)","(5, 3, 4, 9, 2, 8, 6, 0, 1, 7)",-7,0,G1388,G1385,G1383
m11n142,G1388,"(0, 2, 8, 4, 9, 6, 7, 5, 1, 3)","(4, 5, 3, 1, 7, 8, 2, 0, 6, 9)",-7,0,G1387,G1383,G1385
m11n142,G1389,"(0, 8, 3, 1, 9, 4, 7, 5, 2, 6)","(7, 4, 5, 6, 2, 0, 3, 1, 8, 9)",-7,0,G1390,G1391,G1386
m11n142,G1390,"(0, 6, 8, 5, 7, 2, 3, 4, 1, 9)","(5, 1, 4, 9, 3, 6, 8, 0, 7, 2)",-7,0,G1389,G1386,G1391
m11n142,G1391,"(0, 1, 9, 6, 7, 8, 4, 2, 5, 3)","(4, 8, 2, 0, 5, 3, 1, 6, 9, 7)",-7,0,G1386,G1389,G1390
11n143,G396,"(0, 7, 8, 6, 9, 3, 1, 5, 4, 2)","(3, 1, 2, 0, 4, 7, 8, 9, 6, 5)",-7,-2,--,--,G396
11n143,G397,"(0, 7, 6, 3, 4, 2, 5, 9, 1, 8)","(6, 5, 1, 8, 9, 7, 0, 3, 4, 2)",-7,0,G400,G398,G399
11n143,G398,"(0, 4, 3, 9, 6, 7, 5, 8, 1, 2)","(6, 8, 5, 4, 1, 2, 0, 3, 7, 9)",-7,0,G399,G397,G400
11n143,G399,"(0, 8, 1, 9, 6, 4, 5, 7, 3, 2)","(4, 5, 7, 3, 0, 8, 9, 2, 1, 6)",-7,0,G398,G400,G397
11n143,G400,"(0, 6, 3, 1, 2, 5, 4, 9, 7, 8)","(4, 2, 9, 7, 8, 0, 6, 5, 3, 1)",-7,0,G397,G399,G398
11n143,G401,"(0, 8, 7, 1, 9, 3, 6, 4, 5, 2)","(7, 6, 3, 4, 5, 8, 2, 0, 1, 9)",-7,2,--,--,G401
m11n143,G1392,"(0, 6, 4, 7, 5, 8, 9, 2, 1, 3)","(5, 2, 1, 3, 9, 0, 4, 7, 6, 8)",-3,0,G1393,?,?
m11n143,G1393,"(0, 1, 8, 7, 9, 2, 6, 4, 3, 5)","(2, 6, 4, 3, 5, 8, 0, 7, 9, 1)",-3,0,G1392,?,?
11n145,G402,"(0, 3, 1, 2, 5, 8, 9, 7, 6, 4)","(5, 7, 4, 6, 9, 0, 3, 2, 1, 8)",-6,-1,--,--,G403
11n145,G403,"(0, 5, 9, 8, 6, 7, 1, 3, 4, 2)","(3, 1, 4, 2, 0, 5, 6, 9, 8, 7)",-6,-1,--,--,G402
11n145,G404,"(0, 8, 9, 7, 4, 1, 3, 2, 5, 6)","(5, 3, 2, 0, 8, 6, 9, 7, 1, 4)",-6,-1,--,--,G405
11n145,G405,"(0, 5, 7, 6, 4, 8, 9, 3, 1, 2)","(3, 8, 2, 1, 9, 0, 5, 7, 4, 6)",-6,-1,--,--,G404
11n145,G406,"(0, 8, 7, 5, 6, 9, 2, 3, 1, 4)","(6, 3, 2, 1, 4, 5, 8, 0, 7, 9)",-6,1,--,--,G409
11n145,G407,"(0, 1, 9, 3, 4, 8, 6, 5, 7, 2)","(6, 8, 5, 7, 2, 3, 1, 0, 4, 9)",-6,1,--,--,G408
11n145,G408,"(0, 1, 4, 3, 5, 2, 9, 7, 8, 6)","(2, 5, 9, 7, 0, 8, 6, 4, 3, 1)",-6,1,--,--,G407
11n145,G409,"(0, 8, 9, 1, 5, 6, 4, 3, 7, 2)","(5, 4, 3, 6, 7, 2, 0, 8, 1, 9)",-6,1,--,--,G406
m11n145,G1394,"(0, 9, 5, 7, 8, 6, 1, 3, 2, 4)","(6, 1, 0, 2, 3, 9, 4, 7, 5, 8)",-4,-1,--,--,?
m11n145,G1395,"(0, 2, 1, 3, 8, 6, 7, 9, 5, 4)","(6, 9, 7, 0, 5, 1, 2, 4, 3, 8)",-4,1,--,--,?
11n147,G1954,"(0, 9, 1, 3, 8, 4, 7, 6, 5, 2)","(6, 4, 5, 0, 2, 1, 3, 9, 8, 7)",-10,-1,--,--,G2360
11n147,G2360,"(0, 3, 2, 1, 9, 6, 5, 7, 4, 8)","(6, 7, 5, 4, 3, 2, 8, 0, 9, 1)",-10,-1,--,--,G1954
11n147,G1955,"(0, 7, 6, 5, 8, 4, 9, 1, 3, 2)","(5, 4, 3, 9, 1, 0, 2, 7, 8, 6)",-10,1,--,--,G2361
11n147,G2361,"(0, 4, 1, 3, 2, 9, 7, 6, 5, 8)","(7, 9, 8, 0, 6, 5, 4, 3, 1, 2)",-10,1,--,--,G1955
m11n147,G2159,"(0, 1, 5, 3, 4, 2, 7, 6, 8, 9)","(7, 8, 9, 6, 0, 5, 3, 1, 2, 4)",0,-1,--,--,G2565
m11n147,G2160,"(0, 1, 9, 8, 2, 3, 4, 7, 5, 6)","(4, 7, 5, 0, 6, 9, 1, 2, 8, 3)",0,-1,--,--,G2567
m11n147,G2161,"(0, 6, 1, 9, 2, 3, 4, 8, 5, 7)","(3, 8, 7, 4, 5, 6, 0, 1, 9, 2)",0,-1,--,--,G2566
m11n147,G2565,"(0, 1, 5, 3, 4, 2, 7, 6, 8, 9)","(4, 7, 8, 6, 9, 5, 3, 0, 1, 2)",0,-1,--,--,G2159
m11n147,G2566,"(0, 2, 1, 9, 5, 3, 4, 6, 7, 8)","(6, 7, 4, 2, 0, 8, 9, 1, 3, 5)",0,-1,--,--,G2161
m11n147,G2567,"(0, 7, 5, 3, 4, 6, 8, 9, 1, 2)","(4, 1, 8, 7, 9, 0, 2, 3, 5, 6)",0,-1,--,--,G2160
m11n147,G2162,"(0, 2, 9, 3, 4, 5, 8, 6, 1, 7)","(5, 8, 6, 7, 1, 2, 3, 0, 9, 4)",0,1,--,--,G2569
m11n147,G2163,"(0, 1, 3, 2, 7, 5, 6, 4, 8, 9)","(5, 7, 8, 6, 4, 9, 3, 0, 1, 2)",0,1,--,--,G2568
m11n147,G2164,"(0, 1, 9, 2, 3, 4, 8, 7, 5, 6)","(3, 8, 4, 5, 7, 0, 6, 1, 9, 2)",0,1,--,--,G2570
m11n147,G2568,"(0, 1, 3, 2, 7, 5, 6, 4, 8, 9)","(7, 8, 9, 6, 4, 0, 3, 1, 2, 5)",0,1,--,--,G2163
m11n147,G2569,"(0, 1, 2, 4, 5, 3, 9, 7, 6, 8)","(3, 5, 7, 9, 0, 8, 6, 4, 1, 2)",0,1,--,--,G2162
m11n147,G2570,"(0, 1, 3, 4, 6, 8, 9, 7, 5, 2)","(6, 7, 9, 0, 2, 3, 5, 4, 1, 8)",0,1,--,--,G2164
11n164,G410,"(0, 6, 5, 3, 9, 8, 4, 2, 1, 7)","(5, 4, 8, 7, 6, 1, 0, 9, 3, 2)",-11,0,G410,G410,G410
m11n164,G1396,"(0, 1, 8, 9, 5, 6, 7, 2, 3, 4)","(2, 6, 3, 7, 8, 0, 4, 5, 9, 1)",1,0,G1396,G1396,G1396
m11n164,G1397,"(0, 6, 4, 5, 7, 8, 1, 2, 3, 9)","(5, 2, 8, 9, 3, 6, 4, 7, 0, 1)",1,0,G1401,G1402,G1403
m11n164,G1398,"(0, 4, 7, 2, 5, 8, 1, 6, 9, 3)","(7, 8, 1, 9, 0, 3, 4, 2, 5, 6)",1,0,G1398,G1400,G1400
m11n164,G1399,"(0, 3, 1, 4, 6, 7, 5, 8, 9, 2)","(4, 5, 7, 9, 2, 3, 0, 1, 6, 8)",1,0,G1404,G1404,G1399
m11n164,G1400,"(0, 3, 1, 2, 5, 6, 4, 7, 9, 8)","(6, 9, 4, 7, 0, 3, 8, 1, 2, 5)",1,0,G1400,G1398,G1398
m11n164,G1401,"(0, 2, 3, 1, 7, 8, 4, 5, 9, 6)","(4, 8, 9, 5, 2, 6, 7, 0, 1, 3)",1,0,G1397,G1403,G1402
m11n164,G1402,"(0, 1, 7, 8, 2, 3, 6, 4, 5, 9)","(6, 8, 9, 4, 5, 0, 2, 7, 1, 3)",1,0,G1403,G1397,G1401
m11n164,G1403,"(0, 6, 3, 7, 8, 1, 2, 4, 5, 9)","(4, 2, 8, 9, 5, 6, 0, 7, 1, 3)",1,0,G1402,G1401,G1397
m11n164,G1404,"(0, 7, 9, 1, 2, 4, 5, 3, 6, 8)","(5, 2, 3, 6, 0, 7, 1, 8, 9, 4)",1,0,G1399,G1399,G1404
11n173,G411,"(0, 4, 1, 3, 2, 8, 7, 9, 6, 5)","(7, 9, 6, 0, 5, 4, 1, 3, 2, 8)",-10,-1,--,--,G411
11n173,G412,"(0, 9, 6, 8, 7, 3, 2, 4, 1, 5)","(7, 3, 2, 4, 1, 0, 5, 9, 6, 8)",-10,1,--,--,G412
m11n173,G1405,"(0, 1, 9, 5, 3, 4, 6, 7, 8, 2)","(4, 7, 2, 0, 8, 9, 1, 3, 5, 6)",0,-1,--,--,G1407
m11n173,G1406,"(0, 2, 4, 5, 3, 1, 8, 6, 7, 9)","(5, 6, 8, 9, 7, 4, 2, 0, 1, 3)",0,-1,--,--,G1406
m11n173,G1407,"(0, 8, 9, 2, 3, 5, 6, 4, 1, 7)","(4, 1, 6, 7, 8, 0, 2, 9, 5, 3)",0,-1,--,--,G1405
m11n173,G1408,"(0, 2, 3, 1, 8, 6, 4, 5, 7, 9)","(6, 8, 9, 7, 5, 2, 0, 1, 3, 4)",0,1,--,--,G1408
m11n173,G1409,"(0, 4, 5, 6, 8, 9, 7, 3, 1, 2)","(6, 7, 9, 1, 3, 4, 2, 0, 5, 8)",0,1,--,--,G1410
m11n173,G1410,"(0, 6, 3, 1, 2, 4, 5, 8, 9, 7)","(4, 2, 8, 5, 7, 9, 0, 1, 6, 3)",0,1,--,--,G1409
11n183,G413,"(0, 8, 6, 5, 7, 4, 2, 3, 9, 1)","(2, 3, 1, 9, 0, 8, 6, 7, 4, 5)",-15,-2,--,--,G413
11n183,G414,"(0, 8, 7, 5, 6, 3, 4, 1, 9, 2)","(3, 2, 4, 1, 9, 8, 0, 7, 5, 6)",-15,0,G414,G414,G414
11n183,G415,"(0, 2, 8, 9, 7, 4, 6, 5, 3, 1)","(6, 7, 4, 5, 3, 1, 2, 0, 8, 9)",-15,2,--,--,G415
m11n183,G1411,"(0, 9, 1, 3, 2, 5, 4, 7, 6, 8)","(5, 3, 4, 7, 6, 8, 0, 1, 9, 2)",5,0,G1411,G1411,G1411
12n25,G529,"(0, 5, 2, 8, 6, 7, 1, 9, 3, 4)","(3, 1, 7, 4, 9, 0, 8, 5, 6, 2)",-5,0,G540,G543,G531
12n25,G530,"(0, 6, 1, 2, 8, 9, 7, 4, 5, 3)","(4, 2, 3, 7, 5, 6, 0, 8, 1, 9)",-5,0,G544,G535,G534
12n25,G531,"(0, 6, 2, 3, 5, 8, 9, 7, 1, 4)","(5, 3, 4, 7, 1, 2, 6, 0, 8, 9)",-5,0,G543,G540,G529
12n25,G532,"(0, 1, 9, 4, 2, 3, 8, 6, 5, 7)","(6, 8, 3, 0, 5, 7, 4, 9, 1, 2)",-5,0,G536,G545,G538
12n25,G533,"(0, 8, 1, 9, 3, 5, 2, 4, 6, 7)","(6, 3, 4, 2, 0, 1, 7, 8, 9, 5)",-5,0,G541,G533,G541
12n25,G534,"(0, 1, 6, 8, 9, 5, 3, 4, 7, 2)","(3, 5, 2, 4, 7, 8, 6, 0, 1, 9)",-5,0,G535,G544,G530
12n25,G535,"(0, 8, 9, 3, 1, 4, 2, 7, 5, 6)","(5, 1, 2, 0, 7, 8, 6, 3, 9, 4)",-5,0,G534,G530,G544
12n25,G536,"(0, 2, 5, 3, 9, 7, 8, 4, 1, 6)","(4, 7, 8, 1, 6, 0, 2, 9, 5, 3)",-5,0,G532,G538,G545
12n25,G537,"(0, 4, 5, 3, 1, 2, 7, 8, 6, 9)","(7, 8, 2, 9, 4, 6, 3, 5, 0, 1)",-5,0,G539,G542,G546
12n25,G538,"(0, 6, 4, 5, 1, 7, 3, 8, 9, 2)","(5, 3, 7, 9, 6, 2, 0, 1, 4, 8)",-5,0,G545,G536,G532
12n25,G539,"(0, 8, 1, 9, 4, 5, 7, 2, 3, 6)","(7, 5, 6, 2, 0, 1, 3, 4, 8, 9)",-5,0,G537,G546,G542
12n25,G540,"(0, 8, 2, 3, 1, 7, 4, 9, 5, 6)","(4, 1, 9, 0, 5, 2, 8, 6, 7, 3)",-5,0,G529,G531,G543
12n25,G541,"(0, 1, 9, 7, 8, 5, 6, 2, 3, 4)","(6, 8, 2, 0, 3, 1, 4, 5, 7, 9)",-5,0,G533,G541,G533
12n25,G542,"(0, 6, 7, 1, 8, 3, 5, 2, 4, 9)","(8, 9, 3, 4, 2, 0, 1, 6, 7, 5)",-5,0,G546,G537,G539
12n25,G543,"(0, 8, 5, 6, 2, 3, 1, 7, 4, 9)","(7, 1, 9, 3, 4, 0, 5, 2, 8, 6)",-5,0,G531,G529,G540
12n25,G544,"(0, 4, 6, 3, 5, 8, 9, 7, 1, 2)","(3, 1, 2, 7, 9, 0, 6, 4, 5, 8)",-5,0,G530,G534,G535
12n25,G545,"(0, 1, 4, 5, 3, 9, 6, 8, 2, 7)","(3, 6, 8, 2, 7, 4, 0, 1, 9, 5)",-5,0,G538,G532,G536
12n25,G546,"(0, 1, 9, 7, 8, 4, 2, 3, 5, 6)","(5, 8, 2, 0, 3, 1, 6, 7, 9, 4)",-5,0,G542,G539,G537
m12n25,G1547,"(0, 9, 3, 2, 1, 5, 4, 6, 8, 7)","(4, 1, 0, 8, 6, 9, 7, 3, 5, 2)",-5,0,G1548,G1548,G1547
m12n25,G1548,"(0, 9, 1, 3, 2, 6, 5, 4, 8, 7)","(5, 2, 4, 0, 8, 1, 9, 7, 6, 3)",-5,0,G1547,G1547,G1548
12n121,G523,"(0, 9, 1, 6, 5, 7, 3, 2, 4, 8)","(7, 3, 8, 0, 9, 4, 6, 5, 1, 2)",0,-1,--,--,G523
12n121,G524,"(0, 3, 4, 8, 1, 7, 9, 5, 2, 6)","(4, 5, 9, 2, 3, 0, 6, 8, 7, 1)",0,-1,--,--,G524
12n121,G525,"(0, 4, 1, 7, 9, 5, 8, 2, 3, 6)","(5, 9, 8, 0, 6, 3, 4, 7, 1, 2)",0,1,--,--,G525
12n121,G526,"(0, 4, 6, 5, 1, 3, 2, 7, 9, 8)","(6, 7, 3, 2, 4, 9, 8, 0, 5, 1)",0,1,--,--,G526
m12n121,G1539,"(0, 8, 9, 4, 2, 3, 1, 7, 5, 6)","(7, 3, 1, 0, 5, 6, 4, 2, 8, 9)",-10,-1,--,--,G1540
m12n121,G1540,"(0, 8, 4, 2, 3, 1, 6, 7, 5, 9)","(7, 1, 0, 5, 9, 4, 2, 3, 8, 6)",-10,-1,--,--,G1540
m12n121,G1541,"(0, 1, 9, 5, 3, 4, 2, 7, 8, 6)","(7, 8, 4, 2, 0, 1, 6, 5, 3, 9)",-10,1,--,--,G1542
m12n121,G1542,"(0, 4, 2, 3, 8, 6, 7, 5, 1, 9)","(3, 1, 6, 7, 5, 0, 4, 9, 8, 2)",-10,1,--,--,G1542
12n243,G527,"(0, 6, 5, 4, 3, 2, 9, 8, 7, 1)","(2, 1, 8, 7, 6, 5, 4, 3, 0, 9)",-17,-2,--,--,G527
12n243,G528,"(0, 4, 3, 2, 9, 8, 7, 6, 5, 1)","(2, 1, 8, 7, 6, 5, 4, 3, 0, 9)",-17,2,--,--,G528
m12n243,G1543,"(0, 1, 2, 3, 4, 8, 9, 5, 6, 7)","(3, 4, 5, 6, 9, 0, 7, 8, 1, 2)",7,0,G1544,G1543,G1544
m12n243,G1544,"(0, 1, 2, 8, 9, 3, 4, 5, 6, 7)","(5, 6, 9, 0, 7, 8, 1, 2, 3, 4)",7,0,G1543,G1544,G1543
m12n243,G1545,"(0, 1, 3, 5, 4, 6, 7, 8, 9, 2)","(7, 8, 9, 2, 0, 1, 3, 5, 6, 4)",7,0,G1545,G1546,G1546
m12n243,G1546,"(0, 2, 5, 3, 4, 6, 7, 8, 9, 1)","(5, 8, 1, 9, 0, 2, 3, 4, 6, 7)",7,0,G1546,G1545,G1545
12n253,G1970,"(0, 8, 7, 1, 3, 4, 2, 5, 9, 6)","(4, 2, 9, 5, 6, 8, 7, 0, 3, 1)",0,-1,--,--,G2377
12n253,G1971,"(0, 7, 9, 1, 2, 5, 4, 3, 6, 8)","(4, 2, 3, 6, 8, 0, 7, 5, 9, 1)",0,-1,--,--,G2376
12n253,G2376,"(0, 7, 9, 1, 4, 5, 3, 6, 8, 2)","(3, 2, 5, 6, 8, 0, 7, 9, 1, 4)",0,-1,--,--,G1971
12n253,G2377,"(0, 2, 9, 1, 3, 8, 4, 6, 5, 7)","(4, 6, 5, 7, 0, 2, 9, 1, 8, 3)",0,-1,--,--,G1970
12n253,G1972,"(0, 7, 1, 4, 2, 3, 5, 9, 8, 6)","(5, 3, 6, 9, 8, 0, 1, 7, 4, 2)",0,1,--,--,G2378
12n253,G1973,"(0, 2, 5, 4, 3, 6, 7, 9, 1, 8)","(7, 9, 3, 1, 8, 0, 2, 5, 6, 4)",0,1,--,--,G2379
12n253,G2378,"(0, 2, 1, 3, 9, 4, 6, 8, 5, 7)","(4, 9, 6, 8, 5, 7, 0, 2, 1, 3)",0,1,--,--,G1972
12n253,G2379,"(0, 4, 6, 9, 7, 8, 1, 3, 5, 2)","(8, 1, 3, 5, 2, 4, 6, 7, 0, 9)",0,1,--,--,G1973
m12n253,G2193,"(0, 8, 6, 9, 7, 5, 1, 2, 4, 3)","(5, 4, 1, 2, 0, 8, 3, 6, 9, 7)",-10,-1,--,--,G2599
m12n253,G2599,"(0, 8, 1, 9, 6, 4, 5, 7, 3, 2)","(4, 3, 5, 2, 0, 7, 8, 1, 9, 6)",-10,-1,--,--,G2193
m12n253,G2194,"(0, 9, 1, 2, 8, 6, 4, 7, 5, 3)","(6, 4, 7, 0, 5, 3, 1, 2, 9, 8)",-10,1,--,--,G2600
m12n253,G2600,"(0, 9, 5, 7, 8, 6, 3, 1, 4, 2)","(6, 3, 1, 4, 5, 2, 0, 7, 9, 8)",-10,1,--,--,G2194
